0.982,95,0.062,35.2,0.3125,0.629
1.168,130,0.076,28.6,0.3759,13.76
2.615,145,0.181,12.5,0.8126,31.65
3.268,287,0.384,11.2,1.3591,48.16
3.892,230,0.297,15.4,1.3486,56.53
4.165,245,0.364,10.3,1.5267,79.639
4.325,310,0.341,4.6,1.6015,97.653
3.894,278,0.433,3.3,1.4569,114.6
1.231,88,0.115,45.5,0.4026,0.089
1.593,122,0.088,39.8,0.5136,0.758
2.136,96,0.169,22.9,0.8416,13.73
1.873,132,0.196,19.6,0.8106,28.47
2.395,71,0.245,11.9,0.9687,38.65
2.486,78,0.336,17.3,1.0312,52.54
2.893,165,0.268,10.3,1.13621,76.369
5.425,278,0.361,4.9,1.4896,99.163
4.962,225,0.268,2.8,1.7169,117.8
2.665,79,0.106,35.3,0.715,0.626
3.063,122,0.156,29.6,0.8975,16.37
2.689,99,0.264,17.5,1.0548,28.37
3.706,158,0.367,19.8,1.2354,56.28
4.612,216,0.348,12.5,1.3679,67.27
5.216,179,0.374,9.8,1.4685,82.781
1.269,102,0.098,42.6,0.7156,0.648
1.624,116,0.134,29.8,0.7958,14.29
2.968,126,0.219,15.6,1.1789,30.68
2.189,158,0.394,18.6,0.9136,51.52
4.267,263,0.289,17.1,1.5136,64.98
3.489,215,0.269,9.2,1.3512,88.263
6.152,324,0.327,3.6,2.1893,105.265
2.016,101,0.071,33.1,0.9487,0.598
2.614,113,0.092,26.8,1.0346,15.478
3.186,91,0.179,13.9,1.3485,33.145
4.135,213,0.317,15.8,1.5036,53.487
3.549,271,0.327,11.1,1.3948,66.142
3.918,243,0.297,9.3,1.4362,87.457
5.487,304,0.384,5.1,1.8956,102.435
4.156,269,0.415,2.9,1.6012,109.469
